dep,jour,pop,p,cl_age90
22,2020-05-13,60105.00,0,09
22,2020-05-13,71112.00,0,19
22,2020-05-13,47869.00,0,29
22,2020-05-13,60806.00,0,39
22,2020-05-13,72804.00,1,49
22,2020-05-13,80453.00,1,59
22,2020-05-13,87705.00,0,69
22,2020-05-13,65033.00,0,79
22,2020-05-13,39485.00,1,89
22,2020-05-13,10814.00,0,90
23,2020-05-13,116270.00,1,0
23,2020-05-13,9350.00,0,09
23,2020-05-13,11416.00,0,19
23,2020-05-13,8677.00,0,29
23,2020-05-13,10711.00,0,39
23,2020-05-13,13371.00,0,49
23,2020-05-13,17031.00,1,59
23,2020-05-13,19670.00,0,69
23,2020-05-13,14101.00,0,79
23,2020-05-13,9035.00,0,89
23,2020-05-13,2908.00,0,90
24,2020-05-13,408393.00,1,0
24,2020-05-13,34586.00,0,09
24,2020-05-13,41844.00,0,19
24,2020-05-13,31012.00,0,29
24,2020-05-13,39189.00,1,39
24,2020-05-13,48292.00,0,49
24,2020-05-13,59110.00,0,59
24,2020-05-13,65680.00,0,69
24,2020-05-13,50042.00,0,79
24,2020-05-13,30005.00,0,89
24,2020-05-13,8633.00,0,90
25,2020-05-13,539449.00,6,0
25,2020-05-13,63078.00,0,09
25,2020-05-13,69504.00,1,19
25,2020-05-13,63251.00,0,29
25,2020-05-13,67253.00,0,39
25,2020-05-13,67339.00,0,49
25,2020-05-13,67781.00,0,59
25,2020-05-13,61909.00,0,69
25,2020-05-13,46274.00,2,79
25,2020-05-13,26436.00,2,89
25,2020-05-13,6624.00,1,90
26,2020-05-13,520560.00,2,0
26,2020-05-13,60041.00,0,09
26,2020-05-13,65032.00,0,19
26,2020-05-13,47993.00,0,29
26,2020-05-13,62462.00,0,39
26,2020-05-13,65055.00,0,49
26,2020-05-13,69283.00,1,59
26,2020-05-13,65868.00,0,69
26,2020-05-13,49938.00,0,79
26,2020-05-13,27431.00,0,89
26,2020-05-13,7457.00,1,90
27,2020-05-13,600687.00,8,0
27,2020-05-13,72945.00,0,09
27,2020-05-13,78800.00,0,19
27,2020-05-13,55557.00,0,29
27,2020-05-13,73301.00,0,39
27,2020-05-13,80019.00,0,49
27,2020-05-13,80762.00,2,59
27,2020-05-13,75116.00,0,69
27,2020-05-13,50201.00,1,79
27,2020-05-13,26722.00,1,89
27,2020-05-13,7264.00,4,90
28,2020-05-13,429425.00,4,0
28,2020-05-13,51917.00,0,09
28,2020-05-13,54349.00,1,19
28,2020-05-13,39348.00,0,29
28,2020-05-13,51269.00,0,39
28,2020-05-13,55770.00,0,49
28,2020-05-13,57755.00,2,59
28,2020-05-13,53420.00,0,69
28,2020-05-13,36880.00,1,79
28,2020-05-13,21607.00,0,89
28,2020-05-13,7110.00,0,90
29,2020-05-13,906554.00,2,0
29,2020-05-13,91260.00,0,09
29,2020-05-13,110072.00,1,19
29,2020-05-13,90029.00,0,29
29,2020-05-13,99828.00,0,39
29,2020-05-13,113799.00,0,49
29,2020-05-13,123509.00,0,59
29,2020-05-13,124507.00,1,69
29,2020-05-13,86506.00,0,79
29,2020-05-13,53501.00,0,89
29,2020-05-13,13543.00,0,90
2A,2020-05-13,162421.00,4,0
2A,2020-05-13,15993.00,0,09
2A,2020-05-13,15637.00,0,19
2A,2020-05-13,14253.00,1,29
2A,2020-05-13,20657.00,3,39
2A,2020-05-13,22044.00,0,49
2A,2020-05-13,23268.00,0,59
2A,2020-05-13,21273.00,0,69
2A,2020-05-13,17664.00,0,79
2A,2020-05-13,9431.00,0,89
2A,2020-05-13,2201.00,0,90
2B,2020-05-13,182258.00,2,0
2B,2020-05-13,17751.00,0,09
2B,2020-05-13,19174.00,0,19
2B,2020-05-13,19108.00,0,29
2B,2020-05-13,22967.00,1,39
2B,2020-05-13,23161.00,0,49
2B,2020-05-13,24702.00,0,59
2B,2020-05-13,23822.00,1,69
2B,2020-05-13,19021.00,0,79
2B,2020-05-13,9974.00,0,89
2B,2020-05-13,2578.00,0,90
30,2020-05-13,748468.00,0,0
30,2020-05-13,80627.00,0,09
30,2020-05-13,89988.00,0,19
30,2020-05-13,70111.00,0,29
30,2020-05-13,84369.00,0,39
30,2020-05-13,91908.00,0,49
30,2020-05-13,103521.00,0,59
30,2020-05-13,101426.00,0,69
30,2020-05-13,75841.00,0,79
30,2020-05-13,39145.00,0,89
30,2020-05-13,11532.00,0,90
31,2020-05-13,1400935.00,19,0
31,2020-05-13,162716.00,0,09
31,2020-05-13,173034.00,0,19
31,2020-05-13,203669.00,7,29
31,2020-05-13,194920.00,4,39
31,2020-05-13,184340.00,1,49
31,2020-05-13,174175.00,3,59
31,2020-05-13,138032.00,0,69
31,2020-05-13,99121.00,0,79
31,2020-05-13,54891.00,2,89
31,2020-05-13,16037.00,1,90
32,2020-05-13,190040.00,2,0
32,2020-05-13,17273.00,0,09
32,2020-05-13,20308.00,0,19
32,2020-05-13,13901.00,0,29
32,2020-05-13,18813.00,0,39
32,2020-05-13,23258.00,0,49
32,2020-05-13,27973.00,0,59
32,2020-05-13,28863.00,0,69
32,2020-05-13,21621.00,0,79
32,2020-05-13,13621.00,0,89
32,2020-05-13,4409.00,2,90
