epci2020;semaine_glissante;clage_65;ti
245400676;2020-10-06-2020-10-12;0;142.6
245900410;2020-10-06-2020-10-12;0;547.9
246300701;2020-10-06-2020-10-12;0;269.8
246700488;2020-10-06-2020-10-12;0;161.5
248300543;2020-10-06-2020-10-12;0;119.3
200023414;2020-10-07-2020-10-13;0;276.9
200030195;2020-10-07-2020-10-13;0;136.5
200039865;2020-10-07-2020-10-13;0;138
200040715;2020-10-07-2020-10-13;0;457.3
200046977;2020-10-07-2020-10-13;0;465.4
200054781;2020-10-07-2020-10-13;0;374
200054807;2020-10-07-2020-10-13;0;260.7
242100410;2020-10-07-2020-10-13;0;206.1
242900314;2020-10-07-2020-10-13;0;91.7
243100518;2020-10-07-2020-10-13;0;295.7
243300316;2020-10-07-2020-10-13;0;143.8
243400017;2020-10-07-2020-10-13;0;274
243500139;2020-10-07-2020-10-13;0;135.5
243700754;2020-10-07-2020-10-13;0;210.8
244200770;2020-10-07-2020-10-13;0;622.1
244400404;2020-10-07-2020-10-13;0;156.4
244500468;2020-10-07-2020-10-13;0;192.7
245400676;2020-10-07-2020-10-13;0;156.2
245900410;2020-10-07-2020-10-13;0;580.2
246300701;2020-10-07-2020-10-13;0;281.7
246700488;2020-10-07-2020-10-13;0;173.8
248300543;2020-10-07-2020-10-13;0;127.1
200023414;2020-10-08-2020-10-14;0;271.7
200030195;2020-10-08-2020-10-14;0;151.7
200039865;2020-10-08-2020-10-14;0;156.9
200040715;2020-10-08-2020-10-14;0;484.3
200046977;2020-10-08-2020-10-14;0;503.2
200054781;2020-10-08-2020-10-14;0;376.1
200054807;2020-10-08-2020-10-14;0;274.7
242100410;2020-10-08-2020-10-14;0;212.3
242900314;2020-10-08-2020-10-14;0;102.2
243100518;2020-10-08-2020-10-14;0;293
243300316;2020-10-08-2020-10-14;0;140.3
243400017;2020-10-08-2020-10-14;0;283.4
243500139;2020-10-08-2020-10-14;0;138
243700754;2020-10-08-2020-10-14;0;222.9
244200770;2020-10-08-2020-10-14;0;674.9
244400404;2020-10-08-2020-10-14;0;163.2
244500468;2020-10-08-2020-10-14;0;226.2
245400676;2020-10-08-2020-10-14;0;172.9
245900410;2020-10-08-2020-10-14;0;617.7
246300701;2020-10-08-2020-10-14;0;298.8
246700488;2020-10-08-2020-10-14;0;195.4
248300543;2020-10-08-2020-10-14;0;133.7
200023414;2020-10-09-2020-10-15;0;273.8
200030195;2020-10-09-2020-10-15;0;149.8
200039865;2020-10-09-2020-10-15;0;168.5
200040715;2020-10-09-2020-10-15;0;487.8
200046977;2020-10-09-2020-10-15;0;542.1
200054781;2020-10-09-2020-10-15;0;371
200054807;2020-10-09-2020-10-15;0;290.3
242100410;2020-10-09-2020-10-15;0;216
242900314;2020-10-09-2020-10-15;0;102.8
243100518;2020-10-09-2020-10-15;0;301
243300316;2020-10-09-2020-10-15;0;138.3
243400017;2020-10-09-2020-10-15;0;298.6
243500139;2020-10-09-2020-10-15;0;142.8
243700754;2020-10-09-2020-10-15;0;223.4
244200770;2020-10-09-2020-10-15;0;700.1
244400404;2020-10-09-2020-10-15;0;169.7
244500468;2020-10-09-2020-10-15;0;226.8
245400676;2020-10-09-2020-10-15;0;179.3
245900410;2020-10-09-2020-10-15;0;654.4
246300701;2020-10-09-2020-10-15;0;313.8
246700488;2020-10-09-2020-10-15;0;226.7
248300543;2020-10-09-2020-10-15;0;150.6
200023414;2020-09-17-2020-09-23;65;79.3
200030195;2020-09-17-2020-09-23;65;62.7
200039865;2020-09-17-2020-09-23;65;66.6
200040715;2020-09-17-2020-09-23;65;110.9
200046977;2020-09-17-2020-09-23;65;137.4
200054781;2020-09-17-2020-09-23;65;103.2
200054807;2020-09-17-2020-09-23;65;155
242100410;2020-09-17-2020-09-23;65;69.2
242900314;2020-09-17-2020-09-23;65;7.6
243100518;2020-09-17-2020-09-23;65;114.6
243300316;2020-09-17-2020-09-23;65;83.9
243400017;2020-09-17-2020-09-23;65;71.4
243500139;2020-09-17-2020-09-23;65;50.8
243700754;2020-09-17-2020-09-23;65;52.2
244200770;2020-09-17-2020-09-23;65;130.2
244400404;2020-09-17-2020-09-23;65;55.8
244500468;2020-09-17-2020-09-23;65;72
245400676;2020-09-17-2020-09-23;65;35.3
245900410;2020-09-17-2020-09-23;65;144.8
246300701;2020-09-17-2020-09-23;65;60.1
246700488;2020-09-17-2020-09-23;65;20.6
248300543;2020-09-17-2020-09-23;65;44.7
200023414;2020-09-18-2020-09-24;65;76.2
200030195;2020-09-18-2020-09-24;65;62
200039865;2020-09-18-2020-09-24;65;61.9
200040715;2020-09-18-2020-09-24;65;116
200046977;2020-09-18-2020-09-24;65;133.7
200054781;2020-09-18-2020-09-24;65;106.9
200054807;2020-09-18-2020-09-24;65;151.4
242100410;2020-09-18-2020-09-24;65;70.2
242900314;2020-09-18-2020-09-24;65;10.6
243100518;2020-09-18-2020-09-24;65;129
243300316;2020-09-18-2020-09-24;65;70.9
243400017;2020-09-18-2020-09-24;65;78.3
243500139;2020-09-18-2020-09-24;65;42.2
243700754;2020-09-18-2020-09-24;65;56.9
244200770;2020-09-18-2020-09-24;65;139.2
244400404;2020-09-18-2020-09-24;65;61.1
244500468;2020-09-18-2020-09-24;65;74.8
245400676;2020-09-18-2020-09-24;65;33.1
245900410;2020-09-18-2020-09-24;65;145.1
246300701;2020-09-18-2020-09-24;65;60.4
246700488;2020-09-18-2020-09-24;65;21.8
248300543;2020-09-18-2020-09-24;65;47.8
200023414;2020-09-19-2020-09-25;65;74.9
200030195;2020-09-19-2020-09-25;65;50.7
200039865;2020-09-19-2020-09-25;65;50.4
200040715;2020-09-19-2020-09-25;65;124.4
200046977;2020-09-19-2020-09-25;65;135.9
200054781;2020-09-19-2020-09-25;65;109
200054807;2020-09-19-2020-09-25;65;154.6
242100410;2020-09-19-2020-09-25;65;80.1
242900314;2020-09-19-2020-09-25;65;16.1
243100518;2020-09-19-2020-09-25;65;134.5
